Date,Day,Cases,NewCases,D%Cases,ActiveCases,Deaths,NewDeaths,D%Deaths,MortalityRate,Tests,        NewTests,D%Tests,Recovered,NewRecovered,D%Recovered,Hospitalized,NewHospitalized,D%Hospitalized
2020-04-22,50.0,19250.0,1413.0,1.0792173571788979,11693.0,530.0,46.0,1.0950413223140496,0.027532467532467533,185238.0,14838.0,1.0870774647887325,7027.0,45.0,1.0064451446576912,2434.0,15.0,1.0062009094667217
2020-04-23,51.0,20914.0,1664.0,1.0864415584415585,12920.0,572.0,42.0,1.079245283018868,0.027350100411207803,198349.0,13111.0,1.0707792137682333,7422.0,395.0,1.056211754660595,2786.0,352.0,1.1446179129005751
2020-04-24,52.0,21648.0,734.0,1.035096107870326,13518.0,634.0,62.0,1.1083916083916083,0.029286770140428676,218195.0,19846.0,1.1000559619660295,7496.0,74.0,1.0099703583939639,3194.0,408.0,1.1464465183058148
2020-04-25,53.0,25331.0,3683.0,1.1701311899482632,16834.0,700.0,66.0,1.1041009463722398,0.0276341241956496,232747.0,14552.0,1.0666926373198287,7797.0,301.0,1.040154749199573,3532.0,338.0,1.1058234189104572
2020-04-26,54.0,27517.0,2186.0,1.0862974221309858,18701.0,728.0,28.0,1.04,0.026456372424319512,232747.0,0.0,1.0,8088.0,291.0,1.0373220469411313,3632.0,100.0,1.028312570781427
2020-04-27,55.0,28699.0,1182.0,1.0429552640186066,19492.0,782.0,54.0,1.0741758241758241,0.027248336178960938,239563.0,6816.0,1.0292850176371768,8425.0,337.0,1.0416666666666667,3968.0,336.0,1.092511013215859
2020-04-28,56.0,31190.0,2491.0,1.0867974493884804,21157.0,854.0,72.0,1.092071611253197,0.027380570695735813,267612.0,28049.0,1.117084023826718,9179.0,754.0,1.0894955489614244,4088.0,120.0,1.030241935483871
2020-04-29,57.0,33931.0,2741.0,1.0878807310035268,22951.0,943.0,89.0,1.104215456674473,0.027791694910259054,318252.0,50640.0,1.1892291825478678,10037.0,858.0,1.0934742346660857,4289.0,201.0,1.0491682974559686
2020-04-30,58.0,36976.0,3045.0,1.089740944858684,25520.0,1051.0,108.0,1.114528101802757,0.02842384249242752,342498.0,24246.0,1.0761849100712644,10405.0,368.0,1.0366643419348411,4978.0,689.0,1.1606435066449057
2020-05-01,59.0,40459.0,3483.0,1.0941962353959325,28206.0,1124.0,73.0,1.0694576593720266,0.0277812106082701,342498.0,0.0,1.0,11129.0,724.0,1.0695819317635753,5287.0,309.0,1.0620731217356367
